path,label,label_id
/content/khana/khana/pani puri/xwmijkvztnn75zubmk2y,pani puri,55
/content/khana/khana/aloo paratha/af9fcee9e9aa045f8816770a71b986e5,aloo paratha,3
/content/khana/khana/aloo gobi/wzuo0bqhxdkxho5h6wa0,aloo gobi,0
/content/khana/khana/garlic naan/n7b5xtbi7zflkkjwjppf,garlic naan,27
/content/khana/khana/garlic bread/t8xlvq8aixkxfbrenq0k,garlic bread,26
/content/khana/khana/pav bhaji/cjxaxnsltxw6t3av0vwf,pav bhaji,59
/content/khana/khana/dal khichdi/vzx348svmadsy6h86ndn,dal khichdi,21
/content/khana/khana/grilled sandwich/p5erw0wj2zbht1srhaw1,grilled sandwich,29
/content/khana/khana/chicken wings/c3ce4fefd58c5923136f5737ad2ca958,chicken wings,16
/content/khana/khana/dhokla/p8s0aps1n9rtmavrxx43,dhokla,22
/content/khana/khana/grilled sandwich/ygikf8bypbnjvmhpuo3g,grilled sandwich,29
/content/khana/khana/pepperoni pizza/gd0p4og4iua7zggl244b,pepperoni pizza,60
/content/khana/khana/paneer masala/xnmcjmfxhptyhdmlgvfe,paneer masala,53
/content/khana/khana/idiyappam/wmp5rjucj7kw3rrlqo5r,idiyappam,33
/content/khana/khana/paneer pizza/nrcm2sdjpt7hazr1j9lk,paneer pizza,54
/content/khana/khana/biryani/sr8bki6ikspmcdm9mn0y,biryani,10
/content/khana/khana/margherita pizza/wjboyayxsjwzcvbcqu6r,margherita pizza,40
/content/khana/khana/chana masala/v9ivypt58ojwd6ajzpzb,chana masala,13
/content/khana/khana/grilled sandwich/dtyi9sbip4mahvdv3gy2,grilled sandwich,29
/content/khana/khana/idli/jiaqucasoqchxna9oi03,idli,34
/content/khana/khana/biryani/lqignp7vwjpwsebvmujw,biryani,10
/content/khana/khana/masala dosa/mibuh0gsd0ridhzp4x6x,masala dosa,41
/content/khana/khana/sabudana khichdi/ihnewnjywpewtadu8xkp,sabudana khichdi,68
/content/khana/khana/samosa/du77nq7alggiip3eae6d,samosa,70
/content/khana/khana/paneer masala/pyymwnsi42df3pficvgr,paneer masala,53
/content/khana/khana/kulfi/62d9ca354ebeedcd94313e2b8dd1e45d,kulfi,39
/content/khana/khana/kulfi/y72xxgfzkmlmk1yiqnkq,kulfi,39
/content/khana/khana/biryani/kjlkcadhtm3behiywjpx,biryani,10
/content/khana/khana/grilled sandwich/adfcabs73vvlopthg69f,grilled sandwich,29
/content/khana/khana/kaju katli/menxzk7dymvrqqc1nw5u,kaju katli,36
/content/khana/khana/paneer pizza/8efe6d53e763a9714209521336216560,paneer pizza,54
/content/khana/khana/vada pav/a53r5eotyd1whpsdl5hm,vada pav,79
/content/khana/khana/chana masala/orowweh7eg69kaurqp2f,chana masala,13
/content/khana/khana/masala dosa/fbp6zwcc51o8nfwjxhlc,masala dosa,41
/content/khana/khana/uttapam/ub0fhs4sx7295ydczkea,uttapam,78
/content/khana/khana/garlic naan/yuh3ddhwylsxbdn22pxz,garlic naan,27
/content/khana/khana/dal khichdi/ktbsem9r759mxceunv24,dal khichdi,21
/content/khana/khana/garlic naan/w47rstu1u5lwm7idytch,garlic naan,27
/content/khana/khana/rava dosa/zce3ge3iinqsbytl9qqy,rava dosa,67
/content/khana/khana/garlic naan/271588a3df73e44a07b680b2742c5ccf,garlic naan,27
/content/khana/khana/aloo methi/vhjn4b7re69xrlebzxat,aloo methi,1
/content/khana/khana/chapati/47a07e53b7a9640ce3ca9386a636293e,chapati,14
/content/khana/khana/masala papad/ri1tly9y6wshkeushun6,masala papad,42
/content/khana/khana/garlic bread/emfum1zlhijocvbz27vt,garlic bread,26
/content/khana/khana/paneer masala/ohxxnieygjujeametqk6,paneer masala,53
/content/khana/khana/kaju katli/y4kdskhacwhoixtclvbd,kaju katli,36
/content/khana/khana/paneer pizza/wslrsavhsbea6fd8hypu,paneer pizza,54
/content/khana/khana/masala dosa/thhvoakhgbhy3oxke5yq,masala dosa,41
/content/khana/khana/biryani/v9ojm9556eqolsgnz8fl,biryani,10
/content/khana/khana/papdi chaat/dqa5zbftrlm08muyordl,papdi chaat,57
/content/khana/khana/mysore pak/burtwc9bpikv52zvrdcd,mysore pak,48
/content/khana/khana/idli/c56kvg9oyuhuwbxqjp7l,idli,34
/content/khana/khana/paneer masala/szgfmrnyzk69uzofp3m7,paneer masala,53
/content/khana/khana/kheer/hu06errxx0cwlfgtetqu,kheer,38
/content/khana/khana/samosa/fbc4614ebc74dc104eacb283823ddf92,samosa,70
/content/khana/khana/anda curry/ptohhi9hxddh6cpyvoyp,anda curry,5
/content/khana/khana/paneer masala/ukutzdfyu9tuu8ahpmp4,paneer masala,53
/content/khana/khana/garlic naan/ez8oqsizal2qzbejk5jn,garlic naan,27
/content/khana/khana/rava dosa/ajzwgdtczchyx6pdyhbo,rava dosa,67
/content/khana/khana/rasgulla/ldtwgzypefqepntqo725,rasgulla,66
/content/khana/khana/pav bhaji/sn5adrtogsy1py7dpkrf,pav bhaji,59
/content/khana/khana/garlic naan/yougyogpdyhrojodndjo,garlic naan,27
/content/khana/khana/grilled sandwich/c8feb223655117dff649d6fd264dc0d5,grilled sandwich,29
/content/khana/khana/garlic naan/htre7vbar1k4wc4owgok,garlic naan,27
/content/khana/khana/uttapam/lc5jsptkrdks4gkjinun,uttapam,78
/content/khana/khana/garlic bread/z5xv1btldwntdbyoxrgh,garlic bread,26
/content/khana/khana/poha/rt8um5bf4olpzmkw7xuw,poha,62
/content/khana/khana/rasgulla/pacn9twsldnzks5ukcdv,rasgulla,66
/content/khana/khana/anda curry/f3feddd8c630dfca8e56f92dd679beef,anda curry,5
/content/khana/khana/idli/hhuq09utyfjkgyogyny2,idli,34
/content/khana/khana/palak paneer/0a517090524245181d828f768979b5c5,palak paneer,52
/content/khana/khana/aloo paratha/xbc1awkmh8y2amotkbfd,aloo paratha,3
/content/khana/khana/dhokla/lfupovhsspvytvu7p72q,dhokla,22
/content/khana/khana/fish curry/pxshalhunleflo1xr289,fish curry,24
/content/khana/khana/grilled sandwich/xob3xxse333pwdhestmj,grilled sandwich,29
/content/khana/khana/garlic naan/dykxrlqnucyibha508yj,garlic naan,27
/content/khana/khana/bhindi masala/qxkdwzm0i9b48vrcb1sr,bhindi masala,9
/content/khana/khana/palak paneer/ef9kjskhpqwqfldu2l9c,palak paneer,52
/content/khana/khana/seekh kebab/jc46shvsjfp6ddmigyat,seekh kebab,71
/content/khana/khana/sabudana khichdi/nbeok98ay88rjjrwc8qo,sabudana khichdi,68
/content/khana/khana/bhindi masala/ic6whrvomrwboh7ixskl,bhindi masala,9
/content/khana/khana/seekh kebab/r35clcfunhws6d0dxdzp,seekh kebab,71
/content/khana/khana/grilled sandwich/v2kmbf9z8xfxc3ja8c5q,grilled sandwich,29
/content/khana/khana/gulab jamun/gby8ujhceajg2qir4yte,gulab jamun,31
/content/khana/khana/samosa/whdtdbrhc3bgbvgbdesw,samosa,70
/content/khana/khana/masala dosa/v5qbphlhiacugdxbp0lk,masala dosa,41
/content/khana/khana/paneer masala/queywouq6p8alyho2vlk,paneer masala,53
/content/khana/khana/palak paneer/g11rnswk74eye3evbbq6,palak paneer,52
/content/khana/khana/phirni/r6gyxrdi16qenmjqgige,phirni,61
/content/khana/khana/puri bhaji/1edb4fce63988999bd133f79d0363689,puri bhaji,64
/content/khana/khana/grilled sandwich/goulss0r8nl7trbyhcpb,grilled sandwich,29
/content/khana/khana/pongal/vgringlnes10bxiisjgi,pongal,63
/content/khana/khana/dal khichdi/ctg43qnzwjeo5wptltdr,dal khichdi,21
/content/khana/khana/garlic naan/ppfmankdvnjdkylnfkkh,garlic naan,27
/content/khana/khana/falooda/rdi6rtepovvskyr9z331,falooda,23
/content/khana/khana/masala dosa/a2c49d61d42ce2d4eed68dce27ec92c1,masala dosa,41
/content/khana/khana/besan laddu/lfisb8jh8qjv9gixh8ed,besan laddu,8
/content/khana/khana/hara bhara kabab/yrkjvescjpu7qqvky640,hara bhara kabab,32
/content/khana/khana/chana masala/dus5axgp4xsfx604q4ye,chana masala,13
/content/khana/khana/chapati/bpyjntyjxcsyelrfa9ju,chapati,14
/content/khana/khana/chicken wings/ec26571d5c64d4cad6f389b70ce4ba55,chicken wings,16
/content/khana/khana/aloo paratha/cuw0tgzxlf1gwbttn964,aloo paratha,3
/content/khana/khana/fish curry/u5iolbsi7vpsybcdlwcv,fish curry,24
/content/khana/khana/idli/b79c095e12b57221df6b942038ac2b80,idli,34
/content/khana/khana/chapati/abfe1eb3d91103a4c26f74ea92c19bea,chapati,14
/content/khana/khana/garlic naan/syfwxkexxajq3f4jnl7y,garlic naan,27
/content/khana/khana/besan laddu/xmruecv4ddseqbw7diri,besan laddu,8
/content/khana/khana/garlic naan/ooujruf4mb4fbuybxeh4,garlic naan,27
/content/khana/khana/patrode/mgclimywetw7a7fxxv1r,patrode,58
/content/khana/khana/thali/bsje3pg0z3mib7fpqnyg,thali,76
/content/khana/khana/chapati/becszho9y2qrxzajvecm,chapati,14
/content/khana/khana/grilled sandwich/vy5ohzqntoxfgabxf31u,grilled sandwich,29
/content/khana/khana/seekh kebab/fa1d967056ebf8b3b1f5031f31da1bde,seekh kebab,71
/content/khana/khana/vada pav/f4yl3chqe12ghdsaxmb8,vada pav,79
/content/khana/khana/amritsari kulcha/qt4zytxhsotemju0kid4,amritsari kulcha,4
/content/khana/khana/seekh kebab/ijtjyl5rdx5xpew72dmb,seekh kebab,71
/content/khana/khana/steamed momo/03d2fbdd559c998eebe44b2c4efaf55e,steamed momo,75
/content/khana/khana/masala dosa/xxxpwy5p55krt5y9wkrf,masala dosa,41
/content/khana/khana/chana masala/c56e8eeab6d0a7c1999dc558924f8eaa,chana masala,13
/content/khana/khana/garlic bread/gvovtlsl8c8zp9q9mpnm,garlic bread,26
/content/khana/khana/garlic naan/pss0qj2pggntdtewcrgj,garlic naan,27
/content/khana/khana/aloo paratha/75b95f2634b78e9fff42059377267f14,aloo paratha,3
/content/khana/khana/navratan korma/exa5fyiznnv9izsc3ibc,navratan korma,49
/content/khana/khana/hara bhara kabab/e3i3k7vkvynudevxh3xp,hara bhara kabab,32
/content/khana/khana/pani puri/wzma6ekdjcris5xa5bq0,pani puri,55
/content/khana/khana/kulfi/fgeshcc327axqf9kstwb,kulfi,39
/content/khana/khana/dal khichdi/zyvotgbnytzrqqiluuer,dal khichdi,21
/content/khana/khana/palak paneer/cwqhixool9l9oqwbxwdf,palak paneer,52
/content/khana/khana/thukpa/lsr5j8l1i3pjubwvao3x,thukpa,77
/content/khana/khana/grilled sandwich/thixw6gcyfrnyts7bjwr,grilled sandwich,29
/content/khana/khana/murukku/iks5ubehlsknfqz7wshl,murukku,47
/content/khana/khana/palak paneer/ghjcqavxu28df9b4mtv4,palak paneer,52
/content/khana/khana/paneer masala/2049901af2031b95293e9254b5b154a1,paneer masala,53
/content/khana/khana/falooda/rvo61uzvdteec9jgrbiz,falooda,23
/content/khana/khana/hara bhara kabab/m5gxp88e88bjw63paqrv,hara bhara kabab,32
/content/khana/khana/paneer masala/uboirqwomlq1zwmyeggs,paneer masala,53
/content/khana/khana/biryani/i3qgamplx5tigvlhoyhj,biryani,10
/content/khana/khana/paneer masala/vzrrjd37kzp9yup2435d,paneer masala,53
/content/khana/khana/uttapam/ghip5xvmivxopsvukvhp,uttapam,78
/content/khana/khana/poha/3290b45e0366656a9a492965101adacd,poha,62
/content/khana/khana/aloo paratha/gqts5dced9z6gwobfrvk,aloo paratha,3
/content/khana/khana/garlic bread/knsbte9fwdtalrqxkvgr,garlic bread,26
/content/khana/khana/neer dosa/ixsuqk1fe2uyfelkvcfh,neer dosa,50
/content/khana/khana/idli/d019220e0d15f56db9d9afe9fb908314,idli,34
/content/khana/khana/pav bhaji/gkqbcxgmwer5w3qwfrci,pav bhaji,59
/content/khana/khana/chana masala/foga0omv80tuisgpjrbq,chana masala,13
/content/khana/khana/idli/dr0lu9nguvkclxsgsw7r,idli,34
/content/khana/khana/biryani/yegucl1nvsr39vn85xhs,biryani,10
/content/khana/khana/aloo paratha/zfdgzwqnw8xbhqnrnnvf,aloo paratha,3
/content/khana/khana/garlic naan/dfpdhmtrml6rgqfccgfb,garlic naan,27
/content/khana/khana/idli/sj6oebouv8oqckcbp1ow,idli,34
/content/khana/khana/uttapam/vko6wnxqlc8stmjqnyvm,uttapam,78
/content/khana/khana/anda curry/wgqr816zhgez8npqt5wx,anda curry,5
/content/khana/khana/pav bhaji/asaik8bm8n8ng0hubnyg,pav bhaji,59
/content/khana/khana/biryani/hpglxjbtv0eqhr2tnzkq,biryani,10
/content/khana/khana/papdi chaat/w8zp1gvbbvpaeyr0mkmg,papdi chaat,57
/content/khana/khana/rasgulla/mfxcf6gxdisxu3mrkgrt,rasgulla,66
/content/khana/khana/banana chips/omsfdlly28yuyun9qqge,banana chips,7
/content/khana/khana/chana masala/jipe7fzvq0jydbd7w8cl,chana masala,13
/content/khana/khana/rasgulla/tk4gax1rdy4l70743gou,rasgulla,66
/content/khana/khana/paneer masala/o4z5zqcyzeuo55nk8uqv,paneer masala,53
/content/khana/khana/grilled sandwich/ws7zkap2ldur5sqd7ofo,grilled sandwich,29
/content/khana/khana/paneer masala/pu6ime0v9b1mpixq9zvp,paneer masala,53
/content/khana/khana/idli/cqbed3yt9j8w5cggnuab,idli,34
/content/khana/khana/masala dosa/lqenbrzatu9o57f1f3xr,masala dosa,41
/content/khana/khana/biryani/bvq7fxpvlvpcq5ursobr,biryani,10
/content/khana/khana/seekh kebab/cptlweye55qv2cgm4jtx,seekh kebab,71
/content/khana/khana/idli/gvygrjes2nrauki4mqaf,idli,34
/content/khana/khana/garlic bread/kfmuikozy0oea5zeir7n,garlic bread,26
/content/khana/khana/margherita pizza/rr86k30ukzm31daslkvg,margherita pizza,40
/content/khana/khana/garlic naan/uvrsnoakvvjj3cacg16d,garlic naan,27
/content/khana/khana/kulfi/893f1b1d76aea00d143242e38b64b189,kulfi,39
/content/khana/khana/palak paneer/h3po5wfxydlxaly0cjux,palak paneer,52
/content/khana/khana/rasgulla/66aeb1d07098f195248a578bcb32f755,rasgulla,66
/content/khana/khana/chivda/lhgyahouqx5fuaxmhjej,chivda,18
/content/khana/khana/biryani/f9ox6hu7tqpgj6kffleo,biryani,10
/content/khana/khana/chicken pizza/zstyge189cyhmsop16zi,chicken pizza,15
/content/khana/khana/garlic naan/dtn2pjsoriqdejysmspy,garlic naan,27
/content/khana/khana/aloo paratha/ketvy2kzrs4fmznyteqp,aloo paratha,3
/content/khana/khana/idli/nxejzxbi7pwsjy4hb85g,idli,34
/content/khana/khana/paneer masala/pdlwaze7aghzx8tclql1,paneer masala,53
/content/khana/khana/palak paneer/edca167bb4e2d88c90f3775ac6e58adf,palak paneer,52
/content/khana/khana/masala dosa/d00c759e9192272d84d78e1c0b6a1979,masala dosa,41
/content/khana/khana/masala dosa/uukd16objeyn9q880svc,masala dosa,41
/content/khana/khana/paneer masala/xrlwss7djjfmgvdvr9tq,paneer masala,53
/content/khana/khana/garlic bread/zmgqeu7kwqb4hn0tlfnq,garlic bread,26
/content/khana/khana/paneer masala/p8tvryi2jl7kc2hz4bhc,paneer masala,53
/content/khana/khana/poha/kcljx8szgyp9tdtsrcr5,poha,62
/content/khana/khana/steamed momo/k1a6hoejdx3gonbl4n6c,steamed momo,75
/content/khana/khana/seekh kebab/m5j72gptmxmh5kf422h2,seekh kebab,71
/content/khana/khana/idli/iehxwvssfnw1sigk6mkf,idli,34
/content/khana/khana/margherita pizza/r4r2ln1fgicigxcrexpz,margherita pizza,40
/content/khana/khana/grilled sandwich/crp8wcxufbr6mxec6zre,grilled sandwich,29
/content/khana/khana/sabudana khichdi/gactdl5x8sqrnyoyab65,sabudana khichdi,68
/content/khana/khana/chicken pizza/iomvzbbasynedrquignr,chicken pizza,15
/content/khana/khana/vada pav/czhrb9wnziiuiasn8hzc,vada pav,79
/content/khana/khana/poha/y6yhs66cwjh4utksfirz,poha,62
/content/khana/khana/biryani/et8xxklls3tcjeii3gkr,biryani,10
/content/khana/khana/garlic bread/rxs6t6kgm6pmuouhaudl,garlic bread,26
/content/khana/khana/palak paneer/5e38d3740bd02fda0b8b3bd472b4633d,palak paneer,52
/content/khana/khana/paneer masala/xfdvdhfxp0svwclus1zz,paneer masala,53
/content/khana/khana/pav bhaji/bghqv9sfigc3hhxgyoaj,pav bhaji,59
/content/khana/khana/poha/o8tvuxgvidaznk4cbdbr,poha,62
/content/khana/khana/chapati/cyaphzbqd8jh158g0we5,chapati,14
/content/khana/khana/grilled sandwich/xyocoyk8phrofnibhwpz,grilled sandwich,29
/content/khana/khana/aloo mutter/4a6dfea97006aa6645e0e1abc7e772b7,aloo mutter,2
/content/khana/khana/paneer masala/yqamwp6ouze2mgiv0ojm,paneer masala,53
/content/khana/khana/chapati/71030347d176e3d626b860d392f10ac4,chapati,14
/content/khana/khana/gulab jamun/bbb9fa3d11fdbfa8f13aec362741886b,gulab jamun,31
/content/khana/khana/garlic bread/t21urmfe0yscntql6kry,garlic bread,26
/content/khana/khana/paneer masala/mj2ye3efw0aczq45dig6,paneer masala,53
/content/khana/khana/garlic naan/oiphkye9m2wvkfsntc0f,garlic naan,27
/content/khana/khana/steamed momo/qcwtievz8h7tw6sqd24r,steamed momo,75
/content/khana/khana/seekh kebab/azhz7lcj0n40bxrchvbs,seekh kebab,71
/content/khana/khana/vada pav/ave2zuoakae2cn5eck6y,vada pav,79
/content/khana/khana/samosa/apdse2x4wzscsittu5zm,samosa,70
/content/khana/khana/chicken pizza/7f015f2ce6c0fc7d3ebe00596061a860,chicken pizza,15
/content/khana/khana/kheer/hrdwz4nif7aagbunim3u,kheer,38
/content/khana/khana/garlic naan/wrzl5fbvev4sutz2vuq2,garlic naan,27
/content/khana/khana/palak paneer/1473e531de4108773d54fb778cb163cf,palak paneer,52
/content/khana/khana/medu vada/xlwiuez6gdebqrzx2exj,medu vada,43
/content/khana/khana/uttapam/8bce29c2ff25415ec2d965d53024a6bc,uttapam,78
/content/khana/khana/dhokla/nevtzhbroetkq6syv6y1,dhokla,22
/content/khana/khana/steamed momo/mjddaajpcv4vbns6zqh9,steamed momo,75
/content/khana/khana/jalebi/ry5ynkaea8hn6xjium6o,jalebi,35
/content/khana/khana/steamed momo/pw32gzteg9pzufkb04he,steamed momo,75
/content/khana/khana/chicken pizza/qjzbfkulve35gdhjo0gd,chicken pizza,15
/content/khana/khana/besan laddu/v8rujfbjjfsxvi8jozzh,besan laddu,8
/content/khana/khana/masala dosa/bre6wprxl4psszciw7ev,masala dosa,41
/content/khana/khana/thali/atlfyxpxzx1xmvbls8kr,thali,76
/content/khana/khana/steamed momo/uohbgq2kxnqjv4uyssf7,steamed momo,75
/content/khana/khana/anda curry/6d202edccc6136bdde896ffba3a75f8d,anda curry,5
/content/khana/khana/garlic naan/rivszwpl4stbf0uq6jl4,garlic naan,27
/content/khana/khana/garlic naan/poipcugpfdiezbed0pef,garlic naan,27
/content/khana/khana/hara bhara kabab/unvioq3rp6odvfsck3j9,hara bhara kabab,32
/content/khana/khana/kulfi/pokvaaepiqe5ben8zm3p,kulfi,39
/content/khana/khana/falooda/8185f0b8ec15eef16824f3071a9a571d,falooda,23
/content/khana/khana/seekh kebab/cxmf2i7s3uostdct7igc,seekh kebab,71
/content/khana/khana/chicken pizza/ib4yroda6av4tzmsafdh,chicken pizza,15
/content/khana/khana/masala dosa/b8rysnutt8v0narhb5a5,masala dosa,41
/content/khana/khana/pav bhaji/d5iax7ddncey96waecqb,pav bhaji,59
/content/khana/khana/paneer masala/xi64d3xwo4poolqr1l2w,paneer masala,53
/content/khana/khana/modak/zffujufj2iybczeyvfbu,modak,45
/content/khana/khana/rava dosa/hzaclpdoogtgvjc8asms,rava dosa,67
/content/khana/khana/masala papad/zwk4tadteleeqavewpan,masala papad,42
/content/khana/khana/uttapam/myphizu5tkcmcf81m8ov,uttapam,78
/content/khana/khana/falooda/avofw3ficq64ytpcrxaa,falooda,23
/content/khana/khana/pav bhaji/mtxxrfymwg47zv9fybmv,pav bhaji,59
/content/khana/khana/neer dosa/lokuosbkc2atwk0radgj,neer dosa,50
/content/khana/khana/paneer masala/3d9a47addd4e695883df19273d08fc03,paneer masala,53
/content/khana/khana/pepperoni pizza/ab2759e9b4acd67a518f64599013a892,pepperoni pizza,60
/content/khana/khana/falooda/f452a95d980485d22f39235e35b7add1,falooda,23
/content/khana/khana/falooda/fdf2f36f5d977db5f8b5041a66605dfb,falooda,23
/content/khana/khana/rava dosa/sl8q5tzb9s4if236xtfv,rava dosa,67
/content/khana/khana/falooda/jkqkukxpeoxppd0wewo6,falooda,23
/content/khana/khana/sabudana vada/nxq8wbgctlfgz1g2gfju,sabudana vada,69
/content/khana/khana/chole bhature/48f77b4585aef64bbbd63dfaf0fea1d7,chole bhature,19
/content/khana/khana/idli/905140d22667a85a107125a6c19daac3,idli,34
/content/khana/khana/biryani/knndydvkkzebj44nov8z,biryani,10
/content/khana/khana/paneer masala/ub4lv9as8ccpzf0cb5wx,paneer masala,53
/content/khana/khana/garlic naan/c8jzulkuagn63cgyhawu,garlic naan,27
/content/khana/khana/seekh kebab/olyuranaqng2rqepfpdf,seekh kebab,71
/content/khana/khana/biryani/sa4c7bvkxlwdfko43gf1,biryani,10
/content/khana/khana/gulab jamun/hlc0oaqrrkuv4peqyu4u,gulab jamun,31
/content/khana/khana/paneer masala/x2vaettwhx5mbpedlpxx,paneer masala,53
/content/khana/khana/paneer masala/ay2eoopsx1fecafvtrw7,paneer masala,53
/content/khana/khana/garlic bread/gvuochjypdrtz46jjxkt,garlic bread,26
/content/khana/khana/falooda/kgidwevcno3wcj1pw901,falooda,23
/content/khana/khana/seekh kebab/27006108faaf56f84dcd49b05e450271,seekh kebab,71
/content/khana/khana/chana masala/mrqh4g6lffuak3snncgk,chana masala,13
/content/khana/khana/thali/akitenswjytfejipjlaj,thali,76
/content/khana/khana/biryani/wliiquxhrmyk27grsihf,biryani,10
/content/khana/khana/masala dosa/dadbv55ke5sakx8kxuft,masala dosa,41
/content/khana/khana/margherita pizza/n8jcnu4vnsumviq11slm,margherita pizza,40
/content/khana/khana/anda curry/trrjrdiqkqmouumhwh6z,anda curry,5
/content/khana/khana/grilled sandwich/gqnkkmmg9p9dxomexv3c,grilled sandwich,29
/content/khana/khana/dal khichdi/45d45eb9f9dfd5a1f6f3a1812b658e19,dal khichdi,21
/content/khana/khana/garlic bread/dsspt6mqslqvp3xtfn3n,garlic bread,26
/content/khana/khana/samosa/chwfm7bkw83uc0zoc8ky,samosa,70
/content/khana/khana/dal khichdi/pampmrkiqu8wwurbvtih,dal khichdi,21
/content/khana/khana/jalebi/dmppbgtrvhveyycvnowx,jalebi,35
/content/khana/khana/masala dosa/odqwx0z9gd12tagqx8va,masala dosa,41
/content/khana/khana/palak paneer/tyexnhlys99dibxjnusd,palak paneer,52
/content/khana/khana/chicken pizza/hwiguea168ykzfww0qt5,chicken pizza,15
/content/khana/khana/pav bhaji/rz5eadgb3ck0ouclycdt,pav bhaji,59
/content/khana/khana/garlic bread/yrw5by9equyp8bgfv6gn,garlic bread,26
/content/khana/khana/uttapam/xccaqddwp05jemshsnq5,uttapam,78
/content/khana/khana/garlic bread/bhfgyh3vxqzo6jbv3tck,garlic bread,26
/content/khana/khana/masala dosa/mg8141g9qrfvij0ekwp4,masala dosa,41
/content/khana/khana/pav bhaji/pthidyaiw0hw6e9kruaw,pav bhaji,59
/content/khana/khana/paneer masala/04731cbccc2b3e95ee9c167931b66edb,paneer masala,53
/content/khana/khana/gulab jamun/zguzsy8ouqs2effoe0bn,gulab jamun,31
/content/khana/khana/idli/36d16720ffaa68c23817ade8f16a3d67,idli,34
/content/khana/khana/poha/b3t59ewtnhp9yyfouqzr,poha,62
/content/khana/khana/grilled sandwich/kyi34hnffiu1jdxxyyyq,grilled sandwich,29
/content/khana/khana/rava dosa/nsfisqmw7sdfd9uvo7n8,rava dosa,67
/content/khana/khana/fish curry/cy8zuglb4xxvjtgowrav,fish curry,24
/content/khana/khana/anda curry/ua76tjfzwjkodeue9e2e,anda curry,5
/content/khana/khana/papdi chaat/caflyqhpcdjysxw1jk60,papdi chaat,57
/content/khana/khana/paneer masala/z1inakoamsb6pkcpjia1,paneer masala,53
/content/khana/khana/aloo paratha/fxqkudods2tprjg6pebr,aloo paratha,3
/content/khana/khana/dhokla/njppri1la5swts5izqrc,dhokla,22
/content/khana/khana/papdi chaat/ox9pi3v6sy9qxjp7iovg,papdi chaat,57
/content/khana/khana/aloo paratha/wjlbnjg4afvykx24hczo,aloo paratha,3
/content/khana/khana/medu vada/n3nmfmgws6ro8huu766v,medu vada,43
/content/khana/khana/gajar ka halwa/ueqitqkcxzavbwdkdkzr,gajar ka halwa,25
/content/khana/khana/garlic bread/jtplxffcnqxonv59bdnu,garlic bread,26
/content/khana/khana/samosa/rs9dehlxuqr4u0w4ploj,samosa,70
/content/khana/khana/biryani/yg4s3p65xgu7unxmfx3j,biryani,10
/content/khana/khana/chaas/h3sdw90aouyvtrhyokxh,chaas,12
/content/khana/khana/paneer pizza/qh0wjnqqyxark382cvwb,paneer pizza,54
